"_case_","_event_","min_completion_time"
"AJDE","BILLED","2015/10/22 22:35:33.000"
"AJIE","BILLED","2015/10/25 21:36:42.000"
"AJLE","BILLED","2015/12/08 01:35:19.000"
"AJOD","BILLED","2015/09/09 16:58:15.000"
"AJRD","BILLED","2015/08/19 23:42:42.000"
"AKEE","BILLED","2015/11/30 01:25:31.000"
"AKGE","BILLED","2015/12/13 01:29:25.000"
"AKHE","BILLED","2015/12/08 09:18:23.000"
"AKMD","BILLED","2015/10/06 13:57:41.000"
"AKTD","BILLED","2015/05/27 12:00:50.000"
"ALAE","BILLED","2015/08/09 14:50:58.000"
"ALDD","BILLED","2015/08/24 22:27:25.000"
"ALID","BILLED","2015/09/09 16:33:43.000"
"ALJD","BILLED","2015/08/29 13:40:06.000"
"ALKD","BILLED","2015/09/30 23:53:25.000"
"ALLE","BILLED","2015/12/27 01:41:25.000"
"ALRD","BILLED","2015/10/02 22:17:07.000"
"ALVD","BILLED","2015/12/04 02:56:09.000"
"ALXD","BILLED","2015/10/23 16:48:42.000"
"AMED","BILLED","2015/10/07 15:10:45.000"
"AMGD","BILLED","2015/03/15 01:27:02.000"
"AMHD","BILLED","2015/10/26 20:44:39.000"
"AMND","BILLED","2015/10/27 15:01:30.000"
"AMPD","BILLED","2015/09/09 13:15:45.000"
"AMSD","BILLED","2015/10/02 16:37:34.000"
"AMYD","BILLED","2015/10/29 21:33:57.000"
"AMZD","BILLED","2015/09/21 12:56:29.000"
"ANGD","BILLED","2015/10/03 21:10:20.000"
"ANNE","BILLED","2015/12/23 06:03:13.000"
"ANPD","BILLED","2015/10/25 20:38:55.000"
"ANSD","BILLED","2015/06/27 05:56:38.000"
"ANYC","BILLED","2015/05/22 23:15:48.000"
"ANYD","BILLED","2015/11/12 21:50:31.000"
"ANZC","BILLED","2015/04/23 02:26:22.000"
"ANZD","BILLED","2015/10/25 12:58:24.000"
"AOBE","BILLED","2015/10/23 21:08:59.000"
"AOCD","BILLED","2015/07/19 22:25:39.000"
"AOCE","BILLED","2015/11/21 01:20:42.000"
"AOGD","BILLED","2015/08/04 13:58:58.000"
"AOKD","BILLED","2015/08/11 14:21:34.000"
"AOSD","BILLED","2015/08/12 11:32:00.000"
"APFE","BILLED","2015/08/30 00:27:22.000"
"APID","BILLED","2015/08/05 13:25:17.000"
"APJD","BILLED","2015/09/24 19:37:42.000"
"APNE","BILLED","2015/12/21 22:01:55.000"
"APRD","BILLED","2015/10/13 21:12:23.000"
"APUD","BILLED","2015/09/25 16:30:30.000"
"AABD","BILLED","2015/08/18 22:23:38.000"
"AACD","BILLED","2015/10/13 21:10:10.000"
"AAFD","BILLED","2015/11/12 07:43:50.000"
"ABAE","BILLED","2015/11/04 20:41:26.000"
"ABDE","BILLED","2015/11/12 20:24:04.000"
"ABGE","BILLED","2015/10/14 21:46:41.000"
"ABMD","BILLED","2015/09/01 16:35:16.000"
"ABXD","BILLED","2015/09/05 23:15:56.000"
"ACID","BILLED","2015/09/26 15:04:01.000"
"ACJD","BILLED","2015/09/04 16:32:57.000"
"ACKE","BILLED","2015/10/21 23:11:35.000"
"ACQD","BILLED","2015/11/01 15:32:37.000"
"ACRD","BILLED","2015/10/11 10:55:58.000"
"ACYD","BILLED","2015/09/12 23:44:36.000"
"ADAE","BILLED","2015/10/10 21:48:03.000"
"ADDD","BILLED","2015/08/21 22:18:05.000"
"ADEE","BILLED","2015/11/17 20:29:23.000"
"ADFD","BILLED","2015/09/09 13:49:36.000"
"ADGE","BILLED","2015/12/05 23:59:21.000"
"ADKE","BILLED","2015/10/12 21:14:35.000"
"ADND","BILLED","2015/09/02 01:19:02.000"
"ADXD","BILLED","2015/10/29 19:24:18.000"
"AEDD","BILLED","2015/08/25 22:14:18.000"
"AEHD","BILLED","2015/10/27 13:44:01.000"
"AEMD","BILLED","2015/09/02 12:28:51.000"
"AFDE","BILLED","2015/11/12 19:28:55.000"
"AFID","BILLED","2015/11/03 14:28:25.000"
"AFJD","BILLED","2015/09/09 13:50:10.000"
"AFKD","BILLED","2015/09/01 12:57:02.000"
"AFRD","BILLED","2015/10/09 21:35:35.000"
"AGDD","BILLED","2015/11/20 11:33:26.000"
"AGKE","BILLED","2015/12/02 21:29:22.000"
"AGSD","BILLED","2015/09/29 02:10:29.000"
"AGVD","BILLED","2015/10/10 21:12:07.000"
"AHDE","BILLED","2015/08/15 00:11:16.000"
"AHGE","BILLED","2015/11/04 00:59:13.000"
"AHPD","BILLED","2015/10/16 13:46:24.000"
"AHSD","BILLED","2015/09/27 17:11:59.000"
"AHWD","BILLED","2015/10/27 21:03:05.000"
"AIEE","BILLED","2015/11/19 21:48:10.000"
"AIKD","BILLED","2015/10/30 01:13:16.000"
"AJBE","BILLED","2015/10/26 16:11:00.000"
"AJCD","BILLED","2015/09/29 15:26:55.000"
"AJFD","BILLED","2015/07/30 22:10:28.000"
"AJFE","BILLED","2015/12/01 00:16:10.000"
"AJXD","BILLED","2015/09/07 12:28:51.000"
"AKGD","BILLED","2015/10/05 15:24:40.000"
"AKHD","BILLED","2015/10/22 15:25:32.000"
"AKJE","BILLED","2015/11/22 22:17:37.000"
"AKPD","BILLED","2015/09/24 21:05:26.000"
"AKSD","BILLED","2015/09/09 12:40:38.000"
"AKWD","BILLED","2015/10/09 15:09:57.000"
"ALBD","BILLED","2015/04/17 06:37:24.000"
"ALDE","BILLED","2015/11/03 21:55:20.000"
"ALFE","BILLED","2015/11/05 20:29:51.000"
"ALLD","BILLED","2015/09/10 16:43:49.000"
"ALOD","BILLED","2015/08/07 14:46:47.000"
"ALQD","BILLED","2015/11/02 20:56:20.000"
"ALYD","BILLED","2015/11/01 20:34:28.000"
"AMAE","BILLED","2015/12/15 20:17:52.000"
"AMDE","BILLED","2015/12/02 20:44:52.000"
"AMHE","BILLED","2015/09/16 00:26:57.000"
"AMJD","BILLED","2015/11/01 13:45:17.000"
"ANAE","BILLED","2015/10/17 23:29:37.000"
"ANEE","BILLED","2015/10/18 23:11:13.000"
"ANHE","BILLED","2016/01/09 22:05:17.000"
"ANID","BILLED","2015/08/03 14:11:12.000"
"ANJD","BILLED","2015/09/13 00:59:48.000"
"AOID","BILLED","2015/09/07 12:53:43.000"
"AOOD","BILLED","2015/08/20 00:14:29.000"
"AORD","BILLED","2015/10/07 16:40:34.000"
"AOYD","BILLED","2015/09/27 22:11:45.000"
"AOZD","BILLED","2015/10/31 20:42:23.000"
"APFD","BILLED","2015/09/09 16:20:53.000"
"APGE","BILLED","2015/10/04 21:20:33.000"
"APHE","BILLED","2015/10/09 12:04:20.000"
"APTD","BILLED","2015/09/06 14:30:58.000"
"AQBE","BILLED","2015/10/28 22:10:46.000"
"AQCE","BILLED","2015/09/18 00:53:47.000"
"AQJD","BILLED","2015/10/03 15:14:34.000"
"AQLE","BILLED","2015/11/02 01:22:43.000"
"AQOD","BILLED","2015/09/01 14:48:18.000"
"AQQD","BILLED","2015/09/09 14:05:15.000"
"AQYD","BILLED","2015/08/11 14:21:30.000"
"ARBE","BILLED","2015/09/15 00:26:13.000"
"ARCE","BILLED","2015/12/01 05:02:31.000"
"ARFD","BILLED","2015/09/11 13:39:10.000"
"ARFE","BILLED","2015/12/24 21:47:01.000"
"ARMD","BILLED","2015/08/08 14:29:43.000"
"ARUD","BILLED","2015/10/25 19:18:52.000"
"AAHD","BILLED","2015/08/02 10:56:23.000"
"AAMD","BILLED","2015/08/07 11:13:26.000"
"AAYD","BILLED","2015/10/31 21:57:38.000"
"AAZD","BILLED","2015/10/19 00:52:47.000"
"ABBE","BILLED","2015/12/09 12:16:09.000"
"ABED","BILLED","2015/10/11 23:49:33.000"
"ABEE","BILLED","2015/12/19 20:15:45.000"
"ABHD","BILLED","2015/08/20 23:35:44.000"
"ABJE","BILLED","2015/12/10 22:01:01.000"
"ABKE","BILLED","2015/10/09 22:19:28.000"
"ABND","BILLED","2015/08/30 14:15:50.000"
"ABYD","BILLED","2015/08/10 15:01:17.000"
"ACAE","BILLED","2015/11/05 20:47:37.000"
"ACFD","BILLED","2015/08/29 13:05:09.000"
"ACLD","BILLED","2015/09/02 12:49:00.000"
"ADBD","BILLED","2015/08/16 22:09:22.000"
"ADED","BILLED","2015/08/05 13:04:07.000"
"ADHD","BILLED","2015/10/03 21:40:27.000"
"ADIE","BILLED","2015/10/21 23:46:10.000"
"ADPD","BILLED","2015/08/09 14:40:30.000"
"AEAE","BILLED","2015/09/29 21:07:55.000"
"AEED","BILLED","2015/08/08 13:06:52.000"
"AEGD","BILLED","2015/07/17 22:27:19.000"
"AEPD","BILLED","2015/09/02 13:30:34.000"
"AFBE","BILLED","2015/10/15 23:37:24.000"
"AFCE","BILLED","2015/10/09 00:00:22.000"
"AFOD","BILLED","2015/10/25 11:50:33.000"
"AFQD","BILLED","2015/10/08 15:02:22.000"
"AFWD","BILLED","2015/10/04 15:12:20.000"
"AGAE","BILLED","2015/10/11 23:06:00.000"
"AGED","BILLED","2015/09/28 15:10:48.000"
"AGJD","BILLED","2015/08/05 13:39:44.000"
"AGLE","BILLED","2015/11/24 06:05:28.000"
"AHDD","BILLED","2015/09/06 00:46:38.000"
"AHJD","BILLED","2015/09/01 14:15:24.000"
"AHKD","BILLED","2015/10/31 18:19:07.000"
"AHUD","BILLED","2015/10/06 20:52:14.000"
"AIAD","BILLED","2015/10/06 14:21:58.000"
"AIDE","BILLED","2015/11/10 21:53:38.000"
"AILD","BILLED","2015/09/06 13:23:12.000"
"AITD","BILLED","2015/08/24 00:38:16.000"
"AIWD","BILLED","2015/11/01 13:47:06.000"
"AJGD","BILLED","2015/08/04 13:50:02.000"
"AJGE","BILLED","2015/11/07 01:22:09.000"
"AJHD","BILLED","2015/09/02 10:53:29.000"
"AJHE","BILLED","2015/11/03 11:40:22.000"
"AJMD","BILLED","2015/08/30 13:13:18.000"
"AJYD","BILLED","2015/10/02 22:12:15.000"
"AKAE","BILLED","2015/11/21 20:20:50.000"
"AKID","BILLED","2015/10/30 18:34:23.000"
"AKJD","BILLED","2015/08/14 14:13:40.000"
"AKKD","BILLED","2015/08/03 12:47:22.000"
"AKVD","BILLED","2015/10/30 15:39:57.000"
"AKXD","BILLED","2015/09/01 15:01:09.000"
"ALCE","BILLED","2015/10/31 01:17:25.000"
"ALEE","BILLED","2015/10/24 20:34:16.000"
"ALGE","BILLED","2015/12/30 01:27:10.000"
"ALHE","BILLED","2015/11/13 20:10:58.000"
"ALMD","BILLED","2015/08/04 14:22:17.000"
"ALND","BILLED","2015/09/02 14:40:21.000"
"AMBE","BILLED","2015/11/15 21:26:58.000"
"AMCE","BILLED","2015/11/24 04:33:20.000"
"AMDD","BILLED","2015/09/09 16:08:56.000"
"AMEE","BILLED","2015/11/28 21:47:30.000"
"AMJE","BILLED","2015/12/11 22:22:15.000"
"AMLD","BILLED","2015/08/31 13:55:08.000"
"AMQD","BILLED","2015/10/28 15:15:38.000"
"AMRD","BILLED","2015/10/12 23:30:11.000"
"ANAD","BILLED","2015/03/30 02:01:59.000"
"ANDD","BILLED","2015/09/06 23:32:35.000"
"ANDE","BILLED","2015/12/31 01:01:55.000"
"ANOD","BILLED","2015/08/02 14:45:36.000"
"ANRD","BILLED","2015/09/04 11:28:56.000"
"ANWD","BILLED","2015/09/10 13:22:53.000"
"AOAD","BILLED","2015/09/07 23:24:29.000"
"AOTD","BILLED","2015/10/04 23:51:22.000"
"APHD","BILLED","2015/10/07 15:19:41.000"
"APKE","BILLED","2015/11/28 03:12:06.000"
"APMD","BILLED","2015/08/09 14:35:40.000"
"APND","BILLED","2015/08/05 14:32:20.000"
"APYD","BILLED","2015/10/29 21:09:52.000"
"APZC","BILLED","2015/02/16 23:30:10.000"
"AQFE","BILLED","2015/10/17 21:50:15.000"
"AQLD","BILLED","2015/07/28 22:37:15.000"
"AQNE","BILLED","2015/12/22 21:21:15.000"
"AQTD","BILLED","2015/10/07 23:37:48.000"
"AQWD","BILLED","2015/09/30 22:19:12.000"
"ARGD","BILLED","2015/09/09 12:34:58.000"
"ARGE","BILLED","2015/10/23 17:10:44.000"
"ARHE","BILLED","2016/01/15 22:24:27.000"
"ARKD","BILLED","2015/08/05 14:13:46.000"
"ARKE","BILLED","2015/12/24 06:04:47.000"
"ARPD","BILLED","2015/08/02 14:47:29.000"
"ARWD","BILLED","2015/10/31 15:50:40.000"
"ASBD","BILLED","2015/08/15 22:19:04.000"
"ASGE","BILLED","2015/10/04 17:11:32.000"
"ASHE","BILLED","2016/01/09 22:24:29.000"
"ASTD","BILLED","2015/08/29 12:37:44.000"
"ASZD","BILLED","2015/11/02 19:26:38.000"
"ATCE","BILLED","2015/12/08 22:56:31.000"
"ATID","BILLED","2015/11/14 08:17:21.000"
"ATJD","BILLED","2015/08/12 11:05:35.000"
"ATKD","BILLED","2015/10/07 19:40:27.000"
"ATLE","BILLED","2015/11/30 00:11:40.000"
"ATOD","BILLED","2015/09/12 15:05:38.000"
"ATQD","BILLED","2015/07/22 22:18:06.000"
"ATRD","BILLED","2015/09/29 14:28:51.000"
"ATYC","BILLED","2015/04/16 06:20:51.000"
"ATYD","BILLED","2015/12/04 00:30:32.000"
"AUBD","BILLED","2015/07/28 22:23:55.000"
"AUCD","BILLED","2015/08/18 00:48:31.000"
"AULD","BILLED","2015/09/08 05:16:37.000"
"AVED","BILLED","2015/09/07 15:44:10.000"
"AVFE","BILLED","2015/11/05 20:51:30.000"
"AVGD","BILLED","2015/09/28 19:30:35.000"
"AVHD","BILLED","2015/09/13 00:22:15.000"
"AVND","BILLED","2015/08/08 11:19:29.000"
"AVSD","BILLED","2015/09/19 00:48:57.000"
"AVWD","BILLED","2015/09/01 11:39:12.000"
"AWJE","BILLED","2016/01/02 09:42:32.000"
"AWPD","BILLED","2015/09/27 14:05:26.000"
"AWWD","BILLED","2015/09/26 22:12:53.000"
"AXEE","BILLED","2015/11/09 11:23:26.000"
"AXGE","BILLED","2015/10/31 00:48:00.000"
"AXLD","BILLED","2015/10/31 18:43:02.000"
"AXOD","BILLED","2015/09/06 11:25:30.000"
"AXRD","BILLED","2015/08/21 01:04:33.000"
"AYAD","BILLED","2015/09/30 13:31:17.000"
"AYED","BILLED","2015/11/01 13:53:58.000"
"AYGD","BILLED","2015/10/22 02:52:09.000"
"AYKE","BILLED","2015/10/15 05:12:30.000"
"AYPD","BILLED","2015/10/04 21:46:59.000"
"AYWD","BILLED","2015/09/28 22:24:30.000"
"AZAD","BILLED","2015/04/23 02:29:35.000"
"AZDD","BILLED","2015/07/20 22:24:29.000"
"AZEE","BILLED","2015/11/17 21:49:23.000"
"AZGD","BILLED","2015/10/07 21:24:45.000"
"AZHD","BILLED","2015/09/28 14:30:36.000"
"AZND","BILLED","2015/09/30 16:57:50.000"
"BAED","BILLED","2015/09/09 13:39:09.000"
"BAFE","BILLED","2015/12/21 21:53:45.000"
"BAKE","BILLED","2016/01/09 20:31:24.000"
"BAWD","BILLED","2015/09/07 00:02:50.000"
"BAZD","BILLED","2015/08/30 21:27:33.000"
"BBND","BILLED","2015/08/13 14:39:04.000"
"BBOD","BILLED","2015/08/06 14:20:32.000"
"BBWD","BILLED","2015/09/14 22:30:17.000"
"BBZD","BILLED","2015/09/26 17:08:41.000"
"BCBD","BILLED","2015/10/27 01:26:05.000"
"BCFE","BILLED","2015/12/17 21:54:45.000"
"BCID","BILLED","2015/07/17 21:53:30.000"
"BCNE","BILLED","2016/01/03 21:02:20.000"
"BCYD","BILLED","2015/11/10 12:31:51.000"
"BDFD","BILLED","2015/09/12 23:35:52.000"
"BDIE","BILLED","2015/09/17 23:46:07.000"
"BDME","BILLED","2015/12/08 20:52:09.000"
"BDOD","BILLED","2015/09/09 14:39:23.000"
"BDUD","BILLED","2015/08/31 01:38:24.000"
"BEDE","BILLED","2015/11/08 21:53:17.000"
"BEFD","BILLED","2015/11/03 14:07:09.000"
"BEGE","BILLED","2015/11/24 05:54:50.000"
"BEHE","BILLED","2015/09/18 03:23:40.000"
"BEIE","BILLED","2015/11/27 01:22:36.000"
"BEJD","BILLED","2015/08/07 14:12:52.000"
"BEKD","BILLED","2015/08/29 14:22:16.000"
"BEOD","BILLED","2015/09/06 14:36:48.000"
"BEUD","BILLED","2015/11/12 10:02:09.000"
"BFAE","BILLED","2015/10/10 21:48:24.000"
"BFDD","BILLED","2015/10/05 14:39:25.000"
"BFQD","BILLED","2015/10/02 21:44:20.000"
"BFXD","BILLED","2015/10/27 19:23:52.000"
"BGAD","BILLED","2015/09/12 23:23:22.000"
"BGBE","BILLED","2015/12/17 21:15:55.000"
"BGCE","BILLED","2015/12/05 05:16:36.000"
"BGHE","BILLED","2016/01/13 22:18:45.000"
"BGJD","BILLED","2015/10/31 16:42:18.000"
"BGME","BILLED","2015/11/05 01:32:11.000"
"BGUD","BILLED","2015/12/31 05:33:52.000"
"BHJD","BILLED","2015/08/15 11:03:57.000"
"BHJE","BILLED","2015/12/31 01:35:44.000"
"AQCD","BILLED","2015/08/26 22:24:51.000"
"AQED","BILLED","2015/09/30 15:03:52.000"
"AQGD","BILLED","2015/08/31 13:23:41.000"
"AQJE","BILLED","2015/11/27 21:04:51.000"
"AQSD","BILLED","2015/09/05 21:04:34.000"
"ARLD","BILLED","2015/12/23 11:23:41.000"
"ARLE","BILLED","2015/10/24 13:21:10.000"
"ARQD","BILLED","2015/10/31 15:36:44.000"
"ARRD","BILLED","2015/08/31 14:07:21.000"
"ASBE","BILLED","2015/12/21 03:52:47.000"
"ASCE","BILLED","2015/09/20 00:41:34.000"
"ASEE","BILLED","2015/12/22 20:38:04.000"
"ASFD","BILLED","2015/08/31 16:02:25.000"
"ASMD","BILLED","2015/09/29 15:49:22.000"
"ASND","BILLED","2015/09/26 15:21:11.000"
"ASYD","BILLED","2015/09/25 16:16:31.000"
"ATTD","BILLED","2015/10/31 15:24:50.000"
"AUAE","BILLED","2015/11/10 21:36:16.000"
"AUFD","BILLED","2015/09/24 19:26:39.000"
"AUND","BILLED","2015/09/26 16:59:38.000"
"AUYD","BILLED","2015/10/06 22:05:31.000"
"AVBD","BILLED","2015/09/12 00:46:58.000"
"AVCD","BILLED","2015/03/14 02:54:47.000"
"AVCE","BILLED","2015/10/05 20:33:08.000"
"AVGE","BILLED","2015/12/14 11:36:43.000"
"AVID","BILLED","2015/08/31 14:07:53.000"
"AVJD","BILLED","2015/08/04 11:08:46.000"
"AVVD","BILLED","2015/08/11 14:19:28.000"
"AVXD","BILLED","2015/11/01 21:02:20.000"
"AWAE","BILLED","2015/10/17 23:22:58.000"
"AWDD","BILLED","2015/07/17 12:02:09.000"
"AWJD","BILLED","2015/09/09 14:19:05.000"
"AWRD","BILLED","2015/10/06 15:24:56.000"
"AWUD","BILLED","2015/10/08 23:37:46.000"
"AWXD","BILLED","2015/11/19 21:56:07.000"
"AXAE","BILLED","2015/12/10 20:18:57.000"
"AXDE","BILLED","2015/12/06 21:49:01.000"
"AXFD","BILLED","2015/08/30 13:10:27.000"
"AXWD","BILLED","2015/11/12 21:10:00.000"
"AYAE","BILLED","2015/08/02 14:11:06.000"
"AYDD","BILLED","2015/09/06 13:13:00.000"
"AYDE","BILLED","2015/11/19 20:23:23.000"
"AYID","BILLED","2015/09/05 13:34:17.000"
"AYKD","BILLED","2015/08/31 14:20:45.000"
"AYOD","BILLED","2015/10/26 15:19:04.000"
"AYUD","BILLED","2015/11/24 21:14:14.000"
"AYVD","BILLED","2015/09/25 20:21:45.000"
"AYXD","BILLED","2015/10/29 21:12:13.000"
"AZBD","BILLED","2015/09/26 15:47:51.000"
"AZCD","BILLED","2015/09/30 02:57:34.000"
"AZDE","BILLED","2015/10/12 23:39:22.000"
"AZID","BILLED","2015/10/07 19:35:45.000"
"AZIE","BILLED","2015/09/27 22:01:30.000"
"AZKD","BILLED","2015/08/15 22:14:38.000"
"AZOE","BILLED","2016/01/07 04:46:44.000"
"AZPD","BILLED","2015/09/27 20:03:28.000"
"AZUD","BILLED","2015/09/14 23:52:48.000"
"AZXD","BILLED","2015/10/20 23:00:07.000"
"BACD","BILLED","2015/10/01 02:18:17.000"
"BAEE","BILLED","2015/12/18 20:24:45.000"
"BAID","BILLED","2015/09/08 23:39:21.000"
"BAOD","BILLED","2015/09/26 16:50:20.000"
"BAUD","BILLED","2015/09/23 01:38:14.000"
"BBBD","BILLED","2015/10/02 15:26:58.000"
"BBXD","BILLED","2015/10/03 15:59:18.000"
"BCEE","BILLED","2015/10/02 00:07:44.000"
"BCLD","BILLED","2015/08/04 14:20:16.000"
"BCND","BILLED","2015/10/05 19:45:54.000"
"BDED","BILLED","2015/08/09 23:34:21.000"
"BDLE","BILLED","2015/12/30 03:14:00.000"
